Term: 加油,Count: 2083,TF: 0.03239855,IDF: 1.14882617,TF × IDF: 0.03722030
Term: 🙏,Count: 1375,TF: 0.02138646,IDF: 1.52962074,TF × IDF: 0.03271318
Term: 希望,Count: 942,TF: 0.01465167,IDF: 1.29670657,TF × IDF: 0.01899892
Term: 疫情,Count: 829,TF: 0.01289409,IDF: 1.47075408,TF × IDF: 0.01896404
Term: 河北,Count: 765,TF: 0.01189865,IDF: 2.71995244,TF × IDF: 0.03236376
Term: 中国,Count: 752,TF: 0.01169645,IDF: 1.39773315,TF × IDF: 0.01634851
Term: 致敬,Count: 680,TF: 0.01057657,IDF: 1.49593763,TF × IDF: 0.01582190
Term: 2021,Count: 601,TF: 0.00934782,IDF: 1.04097907,TF × IDF: 0.00973089
Term: 石家庄,Count: 451,TF: 0.00701476,IDF: 3.02098244,TF × IDF: 0.02119146
Term: 隔离,Count: 446,TF: 0.00693699,IDF: 1.92407242,TF × IDF: 0.01334727
Term: 辛苦了,Count: 442,TF: 0.00687477,IDF: 1.65925460,TF × IDF: 0.01140700
Term: 平安,Count: 429,TF: 0.00667257,IDF: 1.41352741,TF × IDF: 0.00943187
Term: 2020,Count: 379,TF: 0.00589488,IDF: 1.16364994,TF × IDF: 0.00685958
Term: 北京,Count: 370,TF: 0.00575490,IDF: 1.76570993,TF × IDF: 0.01016149
Term: 愿,Count: 332,TF: 0.00516385,IDF: 1.41892245,TF × IDF: 0.00732711
Term: 国家,Count: 308,TF: 0.00479056,IDF: 1.73094783,TF × IDF: 0.00829222
Term: 过年,Count: 301,TF: 0.00468169,IDF: 1.92407242,TF × IDF: 0.00900791
Term: 病毒,Count: 293,TF: 0.00455726,IDF: 1.97958975,TF × IDF: 0.00902150
Term: 美国,Count: 293,TF: 0.00455726,IDF: 2.24283119,TF × IDF: 0.01022116
Term: 考研,Count: 273,TF: 0.00424618,IDF: 1.50246850,TF × IDF: 0.00637975
Term: 大连,Count: 271,TF: 0.00421507,IDF: 1.61444226,TF × IDF: 0.00680499
Term: 确诊,Count: 266,TF: 0.00413730,IDF: 2.09156351,TF × IDF: 0.00865344
Term: 防护,Count: 262,TF: 0.00407509,IDF: 1.76570993,TF × IDF: 0.00719543
Term: 祖国,Count: 261,TF: 0.00405953,IDF: 1.60600909,TF × IDF: 0.00651965
Term: 回家,Count: 258,TF: 0.00401287,IDF: 1.99979314,TF × IDF: 0.00802492
Term: 晚安,Count: 234,TF: 0.00363958,IDF: 1.81686246,TF × IDF: 0.00661262
Term: 清零,Count: 230,TF: 0.00357737,IDF: 2.09156351,TF × IDF: 0.00748230
Term: 检测,Count: 226,TF: 0.00351515,IDF: 2.11789245,TF × IDF: 0.00744472
Term: 黑龙江,Count: 217,TF: 0.00337517,IDF: 2.54386118,TF × IDF: 0.00858597
Term: 结束,Count: 216,TF: 0.00335961,IDF: 1.90703909,TF × IDF: 0.00640692
Term: 期待,Count: 212,TF: 0.00329740,IDF: 1.79053352,TF × IDF: 0.00590411
Term: 感谢,Count: 208,TF: 0.00323518,IDF: 2.09156351,TF × IDF: 0.00676660
Term: 努力,Count: 206,TF: 0.00320408,IDF: 1.83065074,TF × IDF: 0.00586555
Term: 英雄,Count: 206,TF: 0.00320408,IDF: 1.97958975,TF × IDF: 0.00634276
Term: 病例,Count: 204,TF: 0.00317297,IDF: 2.14592117,TF × IDF: 0.00680895
Term: 沈阳,Count: 202,TF: 0.00314186,IDF: 1.94180119,TF × IDF: 0.00610087
Term: 核酸检测,Count: 199,TF: 0.00309520,IDF: 2.20806908,TF × IDF: 0.00683442
Term: 关注,Count: 196,TF: 0.00304854,IDF: 2.32201243,TF × IDF: 0.00707875
Term: 学生,Count: 195,TF: 0.00303298,IDF: 1.61444226,TF × IDF: 0.00489658
Term: 风险,Count: 193,TF: 0.00300188,IDF: 2.14592117,TF × IDF: 0.00644180
Term: 疫苗,Count: 187,TF: 0.00290855,IDF: 2.17588440,TF × IDF: 0.00632868
Term: 放假,Count: 183,TF: 0.00284634,IDF: 1.99979314,TF × IDF: 0.00569209
Term: 口罩,Count: 179,TF: 0.00278412,IDF: 1.89064867,TF × IDF: 0.00526380
Term: 新增,Count: 175,TF: 0.00272191,IDF: 2.09156351,TF × IDF: 0.00569305
Term: 防疫,Count: 174,TF: 0.00270635,IDF: 2.20806908,TF × IDF: 0.00597582
Term: 学校,Count: 173,TF: 0.00269080,IDF: 1.85961444,TF × IDF: 0.00500386
Term: 工作,Count: 172,TF: 0.00267525,IDF: 1.96028460,TF × IDF: 0.00524425
Term: 💪,Count: 167,TF: 0.00259748,IDF: 2.36776992,TF × IDF: 0.00615024
Term: 戴口罩,Count: 162,TF: 0.00251971,IDF: 2.17588440,TF × IDF: 0.00548260
Term: 厉害,Count: 159,TF: 0.00247305,IDF: 2.06673993,TF × IDF: 0.00511115
Term: 控制,Count: 158,TF: 0.00245749,IDF: 2.20806908,TF × IDF: 0.00542632
Term: 核酸,Count: 158,TF: 0.00245749,IDF: 1.97958975,TF × IDF: 0.00486484
Term: 爱,Count: 155,TF: 0.00241083,IDF: 1.48950352,TF × IDF: 0.00359095
Term: 无症状,Count: 153,TF: 0.00237973,IDF: 2.17588440,TF × IDF: 0.00517801
Term: 保护,Count: 153,TF: 0.00237973,IDF: 1.89064867,TF × IDF: 0.00449923
Term: 支持,Count: 149,TF: 0.00231751,IDF: 1.77794439,TF × IDF: 0.00412041
Term: 可爱,Count: 148,TF: 0.00230196,IDF: 2.11789245,TF × IDF: 0.00487530
Term: 抗疫,Count: 148,TF: 0.00230196,IDF: 2.28061975,TF × IDF: 0.00524989
Term: 武汉,Count: 146,TF: 0.00227085,IDF: 2.47691439,TF × IDF: 0.00562471
Term: 全国,Count: 142,TF: 0.00220863,IDF: 2.28061975,TF × IDF: 0.00503706
Term: 祝福,Count: 141,TF: 0.00219308,IDF: 1.99979314,TF × IDF: 0.00438571
Term: 世界,Count: 139,TF: 0.00216197,IDF: 1.96028460,TF × IDF: 0.00423809
Term: 早安,Count: 137,TF: 0.00213086,IDF: 2.04325883,TF × IDF: 0.00435391
Term: 聚集,Count: 136,TF: 0.00211531,IDF: 2.32201243,TF × IDF: 0.00491178
Term: 健康,Count: 135,TF: 0.00209976,IDF: 1.77794439,TF × IDF: 0.00373326
Term: 防控,Count: 134,TF: 0.00208420,IDF: 2.24283119,TF × IDF: 0.00467452
Term: 平平安安,Count: 131,TF: 0.00203754,IDF: 2.02098244,TF × IDF: 0.00411784
Term: 医护人员,Count: 131,TF: 0.00203754,IDF: 2.36776992,TF × IDF: 0.00482444
Term: 辽宁,Count: 126,TF: 0.00195977,IDF: 2.09156351,TF × IDF: 0.00409899
Term: 挺住,Count: 126,TF: 0.00195977,IDF: 2.36776992,TF × IDF: 0.00464030
Term: 辛苦,Count: 125,TF: 0.00194422,IDF: 1.58164974,TF × IDF: 0.00307508
Term: 谢谢,Count: 120,TF: 0.00186645,IDF: 1.87485440,TF × IDF: 0.00349933
Term: 平凡,Count: 119,TF: 0.00185090,IDF: 2.04325883,TF × IDF: 0.00378187
Term: 哈哈哈,Count: 119,TF: 0.00185090,IDF: 2.20806908,TF × IDF: 0.00408691
Term: 新年快乐,Count: 117,TF: 0.00181979,IDF: 2.04325883,TF × IDF: 0.00371830
Term: 新冠,Count: 115,TF: 0.00178868,IDF: 2.32201243,TF × IDF: 0.00415335
Term: 人民警察,Count: 111,TF: 0.00172647,IDF: 3.32201243,TF × IDF: 0.00573535
Term: 国外,Count: 109,TF: 0.00169536,IDF: 2.41892245,TF × IDF: 0.00410095
Term: 点赞,Count: 108,TF: 0.00167980,IDF: 2.32201243,TF × IDF: 0.00390053
Term: 一线,Count: 108,TF: 0.00167980,IDF: 2.71995244,TF × IDF: 0.00456900
Term: 考试,Count: 106,TF: 0.00164870,IDF: 1.97958975,TF × IDF: 0.00326375
Term: 小区,Count: 105,TF: 0.00163314,IDF: 2.84489118,TF × IDF: 0.00464612
Term: 社区,Count: 105,TF: 0.00163314,IDF: 3.02098244,TF × IDF: 0.00493371
Term: 🥟,Count: 105,TF: 0.00163314,IDF: 3.32201243,TF × IDF: 0.00542533
Term: 生命,Count: 102,TF: 0.00158648,IDF: 2.04325883,TF × IDF: 0.00324160
Term: 喜歡,Count: 100,TF: 0.00155537,IDF: 2.32201243,TF × IDF: 0.00361161
Term: 配合,Count: 100,TF: 0.00155537,IDF: 2.54386118,TF × IDF: 0.00395666
Term: 轨迹,Count: 100,TF: 0.00155537,IDF: 2.28061975,TF × IDF: 0.00354722
Term: 接种,Count: 100,TF: 0.00155537,IDF: 3.02098244,TF × IDF: 0.00469877
Term: 国泰民安,Count: 98,TF: 0.00152427,IDF: 1.84489118,TF × IDF: 0.00281211
Term: 境外,Count: 97,TF: 0.00150871,IDF: 2.47691439,TF × IDF: 0.00373696
Term: 更好,Count: 96,TF: 0.00149316,IDF: 2.06673993,TF × IDF: 0.00308598
Term: 恭喜,Count: 94,TF: 0.00146205,IDF: 2.36776992,TF × IDF: 0.00346181
Term: 吉林,Count: 92,TF: 0.00143094,IDF: 3.02098244,TF × IDF: 0.00432287
Term: 医院,Count: 90,TF: 0.00139984,IDF: 2.84489118,TF × IDF: 0.00398239
Term: 温暖,Count: 87,TF: 0.00135317,IDF: 2.24283119,TF × IDF: 0.00303495
Term: 无症状感染者,Count: 87,TF: 0.00135317,IDF: 2.32201243,TF × IDF: 0.00314210
Term: 山西,Count: 85,TF: 0.00132207,IDF: 2.84489118,TF × IDF: 0.00376115
Term: 警察,Count: 85,TF: 0.00132207,IDF: 3.02098244,TF × IDF: 0.00399395
Term: 越来越好,Count: 84,TF: 0.00130651,IDF: 1.92407242,TF × IDF: 0.00251383
Term: 👍,Count: 83,TF: 0.00129096,IDF: 2.54386118,TF × IDF: 0.00328403
Term: 冬天,Count: 83,TF: 0.00129096,IDF: 2.54386118,TF × IDF: 0.00328403
Term: 政府,Count: 83,TF: 0.00129096,IDF: 2.84489118,TF × IDF: 0.00367265
Term: 注意防护,Count: 82,TF: 0.00127541,IDF: 2.54386118,TF × IDF: 0.00324446
Term: 快乐,Count: 82,TF: 0.00127541,IDF: 1.87485440,TF × IDF: 0.00239120
Term: 大学生,Count: 82,TF: 0.00127541,IDF: 2.20806908,TF × IDF: 0.00281619
Term: 春节,Count: 82,TF: 0.00127541,IDF: 2.41892245,TF × IDF: 0.00308512
Term: 区,Count: 81,TF: 0.00125985,IDF: 1.96028460,TF × IDF: 0.00246967
Term: 新年,Count: 80,TF: 0.00124430,IDF: 1.76570993,TF × IDF: 0.00219707
Term: 阳性,Count: 80,TF: 0.00124430,IDF: 2.54386118,TF × IDF: 0.00316533
Term: 工作人员,Count: 79,TF: 0.00122874,IDF: 2.54386118,TF × IDF: 0.00312576
Term: 变异,Count: 78,TF: 0.00121319,IDF: 2.24283119,TF × IDF: 0.00272099
Term: 冰冰,Count: 78,TF: 0.00121319,IDF: 3.32201243,TF × IDF: 0.00403025
Term: 去年,Count: 77,TF: 0.00119764,IDF: 2.71995244,TF × IDF: 0.00325752
Term: 哭,Count: 76,TF: 0.00118208,IDF: 2.17588440,TF × IDF: 0.00257208
Term: 阴性,Count: 75,TF: 0.00116653,IDF: 2.54386118,TF × IDF: 0.00296750
Term: 上班,Count: 75,TF: 0.00116653,IDF: 2.71995244,TF × IDF: 0.00317291
Term: 境外输入,Count: 75,TF: 0.00116653,IDF: 2.84489118,TF × IDF: 0.00331866
Term: 再见,Count: 74,TF: 0.00115098,IDF: 1.69876314,TF × IDF: 0.00195524
Term: 可怕,Count: 74,TF: 0.00115098,IDF: 3.32201243,TF × IDF: 0.00382357
Term: 人生,Count: 73,TF: 0.00113542,IDF: 2.32201243,TF × IDF: 0.00263647
Term: 家人,Count: 72,TF: 0.00111987,IDF: 2.24283119,TF × IDF: 0.00251168
Term: 工人,Count: 72,TF: 0.00111987,IDF: 2.47691439,TF × IDF: 0.00277382
Term: 传染,Count: 71,TF: 0.00110431,IDF: 2.41892245,TF × IDF: 0.00267126
Term: 影响,Count: 70,TF: 0.00108876,IDF: 2.32201243,TF × IDF: 0.00252812
Term: 自由,Count: 70,TF: 0.00108876,IDF: 2.54386118,TF × IDF: 0.00276966
Term: 志愿者,Count: 70,TF: 0.00108876,IDF: 3.02098244,TF × IDF: 0.00328914
Term: 幸福,Count: 69,TF: 0.00107321,IDF: 1.97958975,TF × IDF: 0.00212451
Term: 儿子,Count: 69,TF: 0.00107321,IDF: 2.28061975,TF × IDF: 0.00244758
Term: 未来,Count: 68,TF: 0.00105765,IDF: 2.20806908,TF × IDF: 0.00233538
Term: 太难了,Count: 68,TF: 0.00105765,IDF: 2.20806908,TF × IDF: 0.00233538
Term: 公布,Count: 68,TF: 0.00105765,IDF: 2.28061975,TF × IDF: 0.00241211
Term: 社会,Count: 68,TF: 0.00105765,IDF: 2.24283119,TF × IDF: 0.00237214
Term: 不好,Count: 68,TF: 0.00105765,IDF: 2.20806908,TF × IDF: 0.00233538
Term: 活动,Count: 68,TF: 0.00105765,IDF: 2.62304243,TF × IDF: 0.00277428
Term: 英国,Count: 68,TF: 0.00105765,IDF: 2.28061975,TF × IDF: 0.00241211
Term: 中国航天,Count: 68,TF: 0.00105765,IDF: 2.62304243,TF × IDF: 0.00277428
Term: 传播,Count: 67,TF: 0.00104210,IDF: 2.71995244,TF × IDF: 0.00283447
Term: 家长,Count: 67,TF: 0.00104210,IDF: 2.32201243,TF × IDF: 0.00241977
Term: 报道,Count: 66,TF: 0.00102655,IDF: 2.36776992,TF × IDF: 0.00243063
Term: 症状,Count: 66,TF: 0.00102655,IDF: 2.14592117,TF × IDF: 0.00220289
Term: 邢台,Count: 66,TF: 0.00102655,IDF: 3.32201243,TF × IDF: 0.00341021
Term: 前行,Count: 65,TF: 0.00101099,IDF: 2.17588440,TF × IDF: 0.00219981
Term: 感动,Count: 63,TF: 0.00097988,IDF: 1.97958975,TF × IDF: 0.00193977
Term: 高风险,Count: 63,TF: 0.00097988,IDF: 2.62304243,TF × IDF: 0.00257029
Term: 艰难,Count: 62,TF: 0.00096433,IDF: 2.36776992,TF × IDF: 0.00228332
Term: 美好,Count: 62,TF: 0.00096433,IDF: 2.11789245,TF × IDF: 0.00204235
Term: 迎接,Count: 62,TF: 0.00096433,IDF: 1.96028460,TF × IDF: 0.00189037
Term: 大学,Count: 62,TF: 0.00096433,IDF: 1.83065074,TF × IDF: 0.00176536
Term: 21,Count: 62,TF: 0.00096433,IDF: 1.03421070,TF × IDF: 0.00099732
Term: 小时,Count: 62,TF: 0.00096433,IDF: 2.62304243,TF × IDF: 0.00252949
Term: 减少,Count: 61,TF: 0.00094878,IDF: 2.84489118,TF × IDF: 0.00269917
Term: 注意安全,Count: 61,TF: 0.00094878,IDF: 2.71995244,TF × IDF: 0.00258064
Term: 参加,Count: 61,TF: 0.00094878,IDF: 3.02098244,TF × IDF: 0.00286625
