Term: 武汉,Count: 2439,TF: 0.02459388,IDF: 1.02975636,TF × IDF: 0.02532570
Term: 🙏,Count: 1565,TF: 0.01578082,IDF: 1.47691439,TF × IDF: 0.02330692
Term: 加油,Count: 1467,TF: 0.01479263,IDF: 1.05249949,TF × IDF: 0.01556923
Term: 希望,Count: 1236,TF: 0.01246332,IDF: 1.28858868,TF × IDF: 0.01606009
Term: 口罩,Count: 1155,TF: 0.01164654,IDF: 1.08146319,TF × IDF: 0.01259531
Term: 物资,Count: 986,TF: 0.00994242,IDF: 1.13732100,TF × IDF: 0.01130772
Term: 一级响应,Count: 897,TF: 0.00904498,IDF: 3.02098244,TF × IDF: 0.02732473
Term: 中国,Count: 854,TF: 0.00861138,IDF: 1.33974120,TF × IDF: 0.01153703
Term: 政府,Count: 791,TF: 0.00797612,IDF: 1.74222884,TF × IDF: 0.01389622
Term: 疫情,Count: 785,TF: 0.00791562,IDF: 1.31341226,TF × IDF: 0.01039647
Term: 医院,Count: 663,TF: 0.00668542,IDF: 1.24283119,TF × IDF: 0.00830885
Term: 全国,Count: 593,TF: 0.00597957,IDF: 1.54386118,TF × IDF: 0.00923162
Term: 山东,Count: 569,TF: 0.00573756,IDF: 1.73094783,TF × IDF: 0.00993142
Term: 湖北,Count: 553,TF: 0.00557622,IDF: 1.35352949,TF × IDF: 0.00754758
Term: 重视,Count: 545,TF: 0.00549555,IDF: 1.96028460,TF × IDF: 0.01077285
Term: 医护人员,Count: 532,TF: 0.00536447,IDF: 1.62304243,TF × IDF: 0.00870676
Term: 国家,Count: 526,TF: 0.00530396,IDF: 1.66879992,TF × IDF: 0.00885126
Term: 平安,Count: 521,TF: 0.00525355,IDF: 1.92407242,TF × IDF: 0.01010821
Term: 病毒,Count: 501,TF: 0.00505188,IDF: 1.45278071,TF × IDF: 0.00733927
Term: 浙江,Count: 472,TF: 0.00475945,IDF: 1.76570993,TF × IDF: 0.00840381
Term: 湖北省,Count: 458,TF: 0.00461828,IDF: 2.02098244,TF × IDF: 0.00933347
Term: 关注,Count: 451,TF: 0.00454770,IDF: 1.64991458,TF × IDF: 0.00750331
Term: 致敬,Count: 444,TF: 0.00447711,IDF: 1.94180119,TF × IDF: 0.00869366
Term: 山西,Count: 436,TF: 0.00439644,IDF: 2.36776992,TF × IDF: 0.01040977
Term: 医生,Count: 416,TF: 0.00419477,IDF: 1.80349849,TF × IDF: 0.00756526
Term: 宣传,Count: 391,TF: 0.00394268,IDF: 2.41892245,TF × IDF: 0.00953704
Term: 地级市,Count: 381,TF: 0.00384184,IDF: 2.71995244,TF × IDF: 0.01044964
Term: 保护,Count: 380,TF: 0.00383176,IDF: 2.17588440,TF × IDF: 0.00833747
Term: 挺住,Count: 378,TF: 0.00381159,IDF: 1.33974120,TF × IDF: 0.00510655
Term: 重庆,Count: 363,TF: 0.00366034,IDF: 1.99979314,TF × IDF: 0.00731993
Term: 红十字会,Count: 361,TF: 0.00364017,IDF: 1.17279332,TF × IDF: 0.00426917
Term: 过年,Count: 361,TF: 0.00364017,IDF: 2.62304243,TF × IDF: 0.00954833
Term: 通报,Count: 360,TF: 0.00363009,IDF: 2.36776992,TF × IDF: 0.00859522
Term: 太好了,Count: 353,TF: 0.00355950,IDF: 2.14592117,TF × IDF: 0.00763842
Term: 医疗,Count: 312,TF: 0.00314608,IDF: 1.70922858,TF × IDF: 0.00537737
Term: 祖国,Count: 310,TF: 0.00312591,IDF: 2.36776992,TF × IDF: 0.00740144
Term: 愿,Count: 308,TF: 0.00310574,IDF: 2.17588440,TF × IDF: 0.00675774
Term: 安徽,Count: 303,TF: 0.00305532,IDF: 2.02098244,TF × IDF: 0.00617476
Term: 一线,Count: 302,TF: 0.00304524,IDF: 1.61444226,TF × IDF: 0.00491637
Term: 确诊,Count: 298,TF: 0.00300491,IDF: 1.61444226,TF × IDF: 0.00485125
Term: 江西,Count: 297,TF: 0.00299482,IDF: 1.92407242,TF × IDF: 0.00576226
Term: 辛苦了,Count: 295,TF: 0.00297465,IDF: 1.89064867,TF × IDF: 0.00562403
Term: 2020,Count: 284,TF: 0.00286374,IDF: 2.06673993,TF × IDF: 0.00591860
Term: 戴口罩,Count: 282,TF: 0.00284357,IDF: 2.20806908,TF × IDF: 0.00627880
Term: 广西,Count: 273,TF: 0.00275282,IDF: 2.11789245,TF × IDF: 0.00583017
Term: 回家,Count: 267,TF: 0.00269231,IDF: 2.47691439,TF × IDF: 0.00666864
Term: 故宫,Count: 263,TF: 0.00265198,IDF: 3.02098244,TF × IDF: 0.00801159
Term: 请求,Count: 261,TF: 0.00263181,IDF: 1.80349849,TF × IDF: 0.00474647
Term: 接触,Count: 258,TF: 0.00260156,IDF: 1.94180119,TF × IDF: 0.00505172
Term: 美国,Count: 255,TF: 0.00257131,IDF: 2.62304243,TF × IDF: 0.00674467
Term: 好消息,Count: 247,TF: 0.00249064,IDF: 1.75381071,TF × IDF: 0.00436812
Term: 河北,Count: 245,TF: 0.00247048,IDF: 2.09156351,TF × IDF: 0.00516716
Term: 防护,Count: 243,TF: 0.00245031,IDF: 1.68854398,TF × IDF: 0.00413746
Term: 上班,Count: 242,TF: 0.00244022,IDF: 1.69876314,TF × IDF: 0.00414537
Term: 北京,Count: 234,TF: 0.00235956,IDF: 1.61444226,TF × IDF: 0.00380937
Term: 控制,Count: 234,TF: 0.00235956,IDF: 1.92407242,TF × IDF: 0.00453996
Term: 湖南,Count: 233,TF: 0.00234947,IDF: 1.84489118,TF × IDF: 0.00433452
Term: 广东,Count: 233,TF: 0.00234947,IDF: 1.80349849,TF × IDF: 0.00423727
Term: 啊啊啊,Count: 232,TF: 0.00233939,IDF: 2.02098244,TF × IDF: 0.00472787
Term: 公布,Count: 228,TF: 0.00229905,IDF: 1.73094783,TF × IDF: 0.00397955
Term: 求求,Count: 224,TF: 0.00225872,IDF: 2.04325883,TF × IDF: 0.00461515
Term: 医务人员,Count: 221,TF: 0.00222847,IDF: 2.06673993,TF × IDF: 0.00460567
Term: 支持,Count: 219,TF: 0.00220830,IDF: 2.24283119,TF × IDF: 0.00495285
Term: 工作,Count: 218,TF: 0.00219822,IDF: 1.70922858,TF × IDF: 0.00375726
Term: 社会,Count: 205,TF: 0.00206713,IDF: 1.90703909,TF × IDF: 0.00394211
Term: 封城,Count: 205,TF: 0.00206713,IDF: 2.36776992,TF × IDF: 0.00489450
Term: 数据,Count: 204,TF: 0.00205705,IDF: 2.09156351,TF × IDF: 0.00430245
Term: 河南,Count: 201,TF: 0.00202680,IDF: 1.85961444,TF × IDF: 0.00376907
Term: 福建,Count: 201,TF: 0.00202680,IDF: 2.17588440,TF × IDF: 0.00441008
Term: 空投,Count: 201,TF: 0.00202680,IDF: 3.32201243,TF × IDF: 0.00673306
Term: 捐赠,Count: 200,TF: 0.00201671,IDF: 1.73094783,TF × IDF: 0.00349083
Term: 上海,Count: 197,TF: 0.00198646,IDF: 1.87485440,TF × IDF: 0.00372433
Term: 陕西,Count: 197,TF: 0.00198646,IDF: 2.20806908,TF × IDF: 0.00438625
Term: 世界,Count: 196,TF: 0.00197638,IDF: 1.94180119,TF × IDF: 0.00383774
Term: 病例,Count: 191,TF: 0.00192596,IDF: 1.84489118,TF × IDF: 0.00355319
Term: 肺炎,Count: 187,TF: 0.00188563,IDF: 1.87485440,TF × IDF: 0.00353528
Term: 家人,Count: 185,TF: 0.00186546,IDF: 2.06673993,TF × IDF: 0.00385543
Term: 直播,Count: 183,TF: 0.00184529,IDF: 1.48316334,TF × IDF: 0.00273687
Term: 事件,Count: 182,TF: 0.00183521,IDF: 2.28061975,TF × IDF: 0.00418542
Term: 哈哈哈,Count: 181,TF: 0.00182513,IDF: 2.20806908,TF × IDF: 0.00403001
Term: 谢谢,Count: 181,TF: 0.00182513,IDF: 2.09156351,TF × IDF: 0.00381737
Term: 爱,Count: 179,TF: 0.00180496,IDF: 1.73094783,TF × IDF: 0.00312429
Term: 开学,Count: 178,TF: 0.00179487,IDF: 2.28061975,TF × IDF: 0.00409343
Term: 努力,Count: 177,TF: 0.00178479,IDF: 2.32201243,TF × IDF: 0.00414431
Term: 平平安安,Count: 170,TF: 0.00171421,IDF: 2.47691439,TF × IDF: 0.00424595
Term: 春节,Count: 170,TF: 0.00171421,IDF: 2.41892245,TF × IDF: 0.00414654
Term: 隔离,Count: 167,TF: 0.00168396,IDF: 1.67855976,TF × IDF: 0.00282662
Term: 健康,Count: 167,TF: 0.00168396,IDF: 2.17588440,TF × IDF: 0.00366410
Term: 害怕,Count: 165,TF: 0.00166379,IDF: 2.41892245,TF × IDF: 0.00402458
Term: 患者,Count: 163,TF: 0.00164362,IDF: 2.20806908,TF × IDF: 0.00362923
Term: 提醒,Count: 163,TF: 0.00164362,IDF: 2.32201243,TF × IDF: 0.00381651
Term: 买不到,Count: 159,TF: 0.00160329,IDF: 1.66879992,TF × IDF: 0.00267557
Term: 海南,Count: 153,TF: 0.00154278,IDF: 2.32201243,TF × IDF: 0.00358237
Term: 防控,Count: 152,TF: 0.00153270,IDF: 2.20806908,TF × IDF: 0.00338432
Term: 传染,Count: 151,TF: 0.00152262,IDF: 1.89064867,TF × IDF: 0.00287874
Term: 求求了,Count: 151,TF: 0.00152262,IDF: 2.71995244,TF × IDF: 0.00414146
Term: 四川,Count: 146,TF: 0.00147220,IDF: 2.06673993,TF × IDF: 0.00304266
Term: 家里,Count: 146,TF: 0.00147220,IDF: 2.06673993,TF × IDF: 0.00304266
Term: 终于,Count: 146,TF: 0.00147220,IDF: 2.24283119,TF × IDF: 0.00330190
Term: 黑龙江,Count: 145,TF: 0.00146212,IDF: 2.14592117,TF × IDF: 0.00313759
Term: 领导,Count: 144,TF: 0.00145203,IDF: 1.96028460,TF × IDF: 0.00284640
Term: 生命,Count: 143,TF: 0.00144195,IDF: 2.04325883,TF × IDF: 0.00294628
Term: 通信,Count: 143,TF: 0.00144195,IDF: 3.32201243,TF × IDF: 0.00479018
Term: 造谣,Count: 141,TF: 0.00142178,IDF: 2.09156351,TF × IDF: 0.00297375
Term: 透明,Count: 138,TF: 0.00139153,IDF: 2.11789245,TF × IDF: 0.00294712
Term: 非典,Count: 136,TF: 0.00137136,IDF: 2.24283119,TF × IDF: 0.00307574
Term: 拜托,Count: 133,TF: 0.00134111,IDF: 2.17588440,TF × IDF: 0.00291811
Term: 伊朗,Count: 133,TF: 0.00134111,IDF: 3.32201243,TF × IDF: 0.00445521
Term: 云南,Count: 131,TF: 0.00132095,IDF: 2.04325883,TF × IDF: 0.00269904
Term: 疫区,Count: 130,TF: 0.00131086,IDF: 2.02098244,TF × IDF: 0.00264923
Term: 吉林,Count: 126,TF: 0.00127053,IDF: 2.17588440,TF × IDF: 0.00276453
Term: 人类,Count: 123,TF: 0.00124028,IDF: 2.14592117,TF × IDF: 0.00266154
Term: 捐款,Count: 122,TF: 0.00123019,IDF: 2.02098244,TF × IDF: 0.00248620
Term: 支援,Count: 122,TF: 0.00123019,IDF: 1.97958975,TF × IDF: 0.00243528
Term: 禁止,Count: 122,TF: 0.00123019,IDF: 2.62304243,TF × IDF: 0.00322686
Term: 和平,Count: 122,TF: 0.00123019,IDF: 3.32201243,TF × IDF: 0.00408673
Term: 防护服,Count: 121,TF: 0.00122011,IDF: 1.83065074,TF × IDF: 0.00223360
