Term: 加油,Count: 1394,TF: 0.02308635,IDF: 1.20474114,TF × IDF: 0.02781307
Term: 中国,Count: 1247,TF: 0.02065184,IDF: 1.31769106,TF × IDF: 0.02721275
Term: 美国,Count: 1027,TF: 0.01700837,IDF: 1.29262866,TF × IDF: 0.02198551
Term: 疫情,Count: 930,TF: 0.01540194,IDF: 1.48950352,TF × IDF: 0.02294124
Term: 武汉,Count: 781,TF: 0.01293431,IDF: 1.74222884,TF × IDF: 0.02253454
Term: 希望,Count: 748,TF: 0.01238779,IDF: 1.35822461,TF × IDF: 0.01682541
Term: 致敬,Count: 687,TF: 0.01137756,IDF: 1.39259351,TF × IDF: 0.01584432
Term: 英雄,Count: 644,TF: 0.01066543,IDF: 1.75381071,TF × IDF: 0.01870514
Term: 🙏,Count: 622,TF: 0.01030108,IDF: 1.77794439,TF × IDF: 0.01831475
Term: 开学,Count: 561,TF: 0.00929084,IDF: 1.46467994,TF × IDF: 0.01360811
Term: 辛苦了,Count: 509,TF: 0.00842966,IDF: 1.51583246,TF × IDF: 0.01277795
Term: 国家,Count: 498,TF: 0.00824749,IDF: 1.64991458,TF × IDF: 0.01360765
Term: 黑龙江,Count: 486,TF: 0.00804875,IDF: 1.76570993,TF × IDF: 0.01421176
Term: 广东,Count: 441,TF: 0.00730350,IDF: 1.89064867,TF × IDF: 0.01380835
Term: 湖北,Count: 388,TF: 0.00642575,IDF: 1.74222884,TF × IDF: 0.01119513
Term: 特朗普,Count: 376,TF: 0.00622702,IDF: 2.02098244,TF × IDF: 0.01258470
Term: 愿,Count: 338,TF: 0.00559769,IDF: 1.53668260,TF × IDF: 0.00860188
Term: 平安,Count: 304,TF: 0.00503461,IDF: 1.71995244,TF × IDF: 0.00865929
Term: 感谢,Count: 302,TF: 0.00500149,IDF: 1.68854398,TF × IDF: 0.00844523
Term: 世界,Count: 289,TF: 0.00478619,IDF: 1.66879992,TF × IDF: 0.00798720
Term: 隔离,Count: 279,TF: 0.00462058,IDF: 1.92407242,TF × IDF: 0.00889033
Term: 病毒,Count: 278,TF: 0.00460402,IDF: 1.89064867,TF × IDF: 0.00870458
Term: 结束,Count: 277,TF: 0.00458745,IDF: 1.94180119,TF × IDF: 0.00890793
Term: 境外输入,Count: 226,TF: 0.00374283,IDF: 2.04325883,TF × IDF: 0.00764758
Term: 哈哈哈,Count: 220,TF: 0.00364346,IDF: 2.06673993,TF × IDF: 0.00753010
Term: 北京,Count: 215,TF: 0.00356066,IDF: 1.85961444,TF × IDF: 0.00662146
Term: 春天,Count: 207,TF: 0.00342817,IDF: 3.02098244,TF × IDF: 0.01035645
Term: 支持,Count: 205,TF: 0.00339505,IDF: 1.80349849,TF × IDF: 0.00612297
Term: 广州,Count: 204,TF: 0.00337849,IDF: 2.32201243,TF × IDF: 0.00784489
Term: 全国,Count: 201,TF: 0.00332880,IDF: 2.06673993,TF × IDF: 0.00687977
Term: 抗疫,Count: 195,TF: 0.00322943,IDF: 2.24283119,TF × IDF: 0.00724308
Term: 口罩,Count: 195,TF: 0.00322943,IDF: 2.09156351,TF × IDF: 0.00675457
Term: 祖国,Count: 185,TF: 0.00306382,IDF: 1.99979314,TF × IDF: 0.00612702
Term: 保护,Count: 184,TF: 0.00304726,IDF: 2.14592117,TF × IDF: 0.00653919
Term: 👍,Count: 181,TF: 0.00299758,IDF: 2.28061975,TF × IDF: 0.00683634
Term: 爱,Count: 172,TF: 0.00284853,IDF: 1.57382441,TF × IDF: 0.00448308
Term: 生命,Count: 171,TF: 0.00283196,IDF: 2.14592117,TF × IDF: 0.00607718
Term: 病例,Count: 163,TF: 0.00269947,IDF: 2.17588440,TF × IDF: 0.00587375
Term: 政府,Count: 161,TF: 0.00266635,IDF: 2.24283119,TF × IDF: 0.00598018
Term: 本土,Count: 158,TF: 0.00261667,IDF: 2.11789245,TF × IDF: 0.00554183
Term: 辛苦,Count: 158,TF: 0.00261667,IDF: 1.41892245,TF × IDF: 0.00371285
Term: 关注,Count: 156,TF: 0.00258355,IDF: 2.02098244,TF × IDF: 0.00522131
Term: 可爱,Count: 156,TF: 0.00258355,IDF: 2.24283119,TF × IDF: 0.00579446
Term: 一线,Count: 144,TF: 0.00238481,IDF: 2.20806908,TF × IDF: 0.00526583
Term: 严防,Count: 144,TF: 0.00238481,IDF: 2.36776992,TF × IDF: 0.00564669
Term: 期待,Count: 143,TF: 0.00236825,IDF: 1.94180119,TF × IDF: 0.00459868
Term: 终于,Count: 143,TF: 0.00236825,IDF: 1.90703909,TF × IDF: 0.00451635
Term: 控制,Count: 136,TF: 0.00225232,IDF: 2.17588440,TF × IDF: 0.00490080
Term: 全世界,Count: 134,TF: 0.00221920,IDF: 2.36776992,TF × IDF: 0.00525456
Term: 谢谢,Count: 134,TF: 0.00221920,IDF: 2.11789245,TF × IDF: 0.00470003
Term: 新增,Count: 133,TF: 0.00220264,IDF: 2.09156351,TF × IDF: 0.00460696
Term: 确诊,Count: 129,TF: 0.00213639,IDF: 2.32201243,TF × IDF: 0.00496074
Term: 太难了,Count: 129,TF: 0.00213639,IDF: 2.71995244,TF × IDF: 0.00581090
Term: 无症状,Count: 128,TF: 0.00211983,IDF: 2.02098244,TF × IDF: 0.00428415
Term: 甩锅,Count: 126,TF: 0.00208671,IDF: 2.09156351,TF × IDF: 0.00436449
Term: 医护人员,Count: 120,TF: 0.00198734,IDF: 2.28061975,TF × IDF: 0.00453238
Term: 不好,Count: 117,TF: 0.00193766,IDF: 2.32201243,TF × IDF: 0.00449927
Term: 俄罗斯,Count: 117,TF: 0.00193766,IDF: 2.47691439,TF × IDF: 0.00479942
Term: 可怕,Count: 117,TF: 0.00193766,IDF: 2.02098244,TF × IDF: 0.00391598
Term: 逝者,Count: 116,TF: 0.00192110,IDF: 3.32201243,TF × IDF: 0.00638192
Term: 国外,Count: 115,TF: 0.00190454,IDF: 2.62304243,TF × IDF: 0.00499569
Term: 山东,Count: 114,TF: 0.00188797,IDF: 1.96028460,TF × IDF: 0.00370097
Term: 医院,Count: 114,TF: 0.00188797,IDF: 2.32201243,TF × IDF: 0.00438391
Term: 越来越好,Count: 112,TF: 0.00185485,IDF: 1.96028460,TF × IDF: 0.00363604
Term: 输入,Count: 111,TF: 0.00183829,IDF: 1.97958975,TF × IDF: 0.00363907
Term: 新冠,Count: 111,TF: 0.00183829,IDF: 2.06673993,TF × IDF: 0.00379928
Term: 营销,Count: 110,TF: 0.00182173,IDF: 2.06673993,TF × IDF: 0.00376505
Term: 💪,Count: 110,TF: 0.00182173,IDF: 2.28061975,TF × IDF: 0.00415468
Term: 安息,Count: 110,TF: 0.00182173,IDF: 3.32201243,TF × IDF: 0.00605182
Term: 医生,Count: 109,TF: 0.00180517,IDF: 1.92407242,TF × IDF: 0.00347328
Term: 热干面,Count: 108,TF: 0.00178861,IDF: 2.36776992,TF × IDF: 0.00423502
Term: 工作,Count: 106,TF: 0.00175549,IDF: 1.80349849,TF × IDF: 0.00316602
Term: 解封,Count: 106,TF: 0.00175549,IDF: 2.62304243,TF × IDF: 0.00460472
Term: 学校,Count: 105,TF: 0.00173892,IDF: 1.87485440,TF × IDF: 0.00326023
Term: 大学,Count: 105,TF: 0.00173892,IDF: 2.02098244,TF × IDF: 0.00351434
Term: 同胞,Count: 105,TF: 0.00173892,IDF: 3.02098244,TF × IDF: 0.00525327
Term: 戴口罩,Count: 103,TF: 0.00170580,IDF: 2.47691439,TF × IDF: 0.00422513
Term: 厉害,Count: 102,TF: 0.00168924,IDF: 2.09156351,TF × IDF: 0.00353316
Term: 防控,Count: 102,TF: 0.00168924,IDF: 2.32201243,TF × IDF: 0.00392244
Term: 无症状感染者,Count: 101,TF: 0.00167268,IDF: 2.47691439,TF × IDF: 0.00414309
Term: 入境,Count: 101,TF: 0.00167268,IDF: 2.47691439,TF × IDF: 0.00414309
Term: 努力,Count: 100,TF: 0.00165612,IDF: 2.17588440,TF × IDF: 0.00360353
Term: 防护,Count: 100,TF: 0.00165612,IDF: 2.14592117,TF × IDF: 0.00355390
Term: 感恩,Count: 99,TF: 0.00163956,IDF: 2.41892245,TF × IDF: 0.00396597
Term: 历史,Count: 98,TF: 0.00162300,IDF: 2.32201243,TF × IDF: 0.00376862
Term: 缅怀,Count: 96,TF: 0.00158987,IDF: 3.02098244,TF × IDF: 0.00480299
Term: 钟老,Count: 94,TF: 0.00155675,IDF: 2.62304243,TF × IDF: 0.00408343
Term: ❤,Count: 92,TF: 0.00152363,IDF: 2.24283119,TF × IDF: 0.00341725
Term: 健康,Count: 91,TF: 0.00150707,IDF: 2.41892245,TF × IDF: 0.00364548
Term: 战胜,Count: 91,TF: 0.00150707,IDF: 2.20806908,TF × IDF: 0.00332771
Term: 付出,Count: 90,TF: 0.00149051,IDF: 2.41892245,TF × IDF: 0.00360542
Term: 绥芬河,Count: 90,TF: 0.00149051,IDF: 3.02098244,TF × IDF: 0.00450280
Term: 值得,Count: 89,TF: 0.00147394,IDF: 2.32201243,TF × IDF: 0.00342252
Term: 美好,Count: 85,TF: 0.00140770,IDF: 2.41892245,TF × IDF: 0.00340512
Term: 哈尔滨,Count: 85,TF: 0.00140770,IDF: 2.41892245,TF × IDF: 0.00340512
Term: 川普,Count: 83,TF: 0.00137458,IDF: 2.47691439,TF × IDF: 0.00340472
Term: 复工,Count: 83,TF: 0.00137458,IDF: 2.62304243,TF × IDF: 0.00360558
Term: 牺牲,Count: 80,TF: 0.00132489,IDF: 2.71995244,TF × IDF: 0.00360365
Term: 2020,Count: 80,TF: 0.00132489,IDF: 2.24283119,TF × IDF: 0.00297152
Term: 高校,Count: 80,TF: 0.00132489,IDF: 2.09156351,TF × IDF: 0.00277110
Term: 平凡,Count: 80,TF: 0.00132489,IDF: 2.36776992,TF × IDF: 0.00313705
Term: 防疫,Count: 79,TF: 0.00130833,IDF: 2.41892245,TF × IDF: 0.00316476
Term: 小区,Count: 79,TF: 0.00130833,IDF: 2.71995244,TF × IDF: 0.00355861
Term: 归来,Count: 79,TF: 0.00130833,IDF: 2.28061975,TF × IDF: 0.00298381
Term: 检测,Count: 78,TF: 0.00129177,IDF: 2.54386118,TF × IDF: 0.00328609
Term: 幸福,Count: 78,TF: 0.00129177,IDF: 2.32201243,TF × IDF: 0.00299951
Term: 境外,Count: 78,TF: 0.00129177,IDF: 1.96028460,TF × IDF: 0.00253224
Term: 春暖花开,Count: 77,TF: 0.00127521,IDF: 2.71995244,TF × IDF: 0.00346852
Term: 风险,Count: 76,TF: 0.00125865,IDF: 2.24283119,TF × IDF: 0.00282294
Term: 数字,Count: 76,TF: 0.00125865,IDF: 2.24283119,TF × IDF: 0.00282294
Term: 大学生,Count: 75,TF: 0.00124209,IDF: 2.28061975,TF × IDF: 0.00283273
Term: 点赞,Count: 75,TF: 0.00124209,IDF: 2.47691439,TF × IDF: 0.00307655
Term: 谢谢你们,Count: 75,TF: 0.00124209,IDF: 2.54386118,TF × IDF: 0.00315970
Term: 清零,Count: 74,TF: 0.00122553,IDF: 2.06673993,TF × IDF: 0.00253285
Term: 学生,Count: 72,TF: 0.00119240,IDF: 1.94180119,TF × IDF: 0.00231541
Term: 全球,Count: 72,TF: 0.00119240,IDF: 2.62304243,TF × IDF: 0.00312773
Term: 意大利,Count: 72,TF: 0.00119240,IDF: 2.36776992,TF × IDF: 0.00282334
Term: 上海,Count: 71,TF: 0.00117584,IDF: 2.62304243,TF × IDF: 0.00308429
Term: 铭记,Count: 71,TF: 0.00117584,IDF: 3.02098244,TF × IDF: 0.00355221
Term: 山西,Count: 71,TF: 0.00117584,IDF: 3.02098244,TF × IDF: 0.00355221
Term: 人类,Count: 70,TF: 0.00115928,IDF: 2.47691439,TF × IDF: 0.00287145
Term: 晚安,Count: 69,TF: 0.00114272,IDF: 2.36776992,TF × IDF: 0.00270570
Term: 老百姓,Count: 69,TF: 0.00114272,IDF: 2.36776992,TF × IDF: 0.00270570
Term: 数据,Count: 69,TF: 0.00114272,IDF: 2.20806908,TF × IDF: 0.00252321
Term: 西方,Count: 69,TF: 0.00114272,IDF: 2.32201243,TF × IDF: 0.00265342
Term: 关门大吉,Count: 69,TF: 0.00114272,IDF: 2.62304243,TF × IDF: 0.00299741
Term: 媒体,Count: 68,TF: 0.00112616,IDF: 2.02098244,TF × IDF: 0.00227595
Term: 河北,Count: 68,TF: 0.00112616,IDF: 2.20806908,TF × IDF: 0.00248664
Term: 医疗,Count: 67,TF: 0.00110960,IDF: 2.62304243,TF × IDF: 0.00291053
Term: 自由,Count: 67,TF: 0.00110960,IDF: 2.24283119,TF × IDF: 0.00248865
Term: 骄傲,Count: 67,TF: 0.00110960,IDF: 2.41892245,TF × IDF: 0.00268404
Term: 恭喜,Count: 67,TF: 0.00110960,IDF: 2.14592117,TF × IDF: 0.00238111
Term: 山河无恙,Count: 67,TF: 0.00110960,IDF: 3.02098244,TF × IDF: 0.00335208
Term: 啥时候,Count: 67,TF: 0.00110960,IDF: 2.62304243,TF × IDF: 0.00291053
Term: 警惕,Count: 67,TF: 0.00110960,IDF: 2.62304243,TF × IDF: 0.00291053
Term: 哭,Count: 66,TF: 0.00109304,IDF: 2.62304243,TF × IDF: 0.00286709
Term: 影响,Count: 65,TF: 0.00107647,IDF: 2.28061975,TF × IDF: 0.00245504
Term: 总统,Count: 65,TF: 0.00107647,IDF: 2.47691439,TF × IDF: 0.00266634
Term: 感动,Count: 65,TF: 0.00107647,IDF: 2.54386118,TF × IDF: 0.00273841
Term: 回家,Count: 65,TF: 0.00107647,IDF: 2.62304243,TF × IDF: 0.00282365
Term: 恢复,Count: 64,TF: 0.00105991,IDF: 2.36776992,TF × IDF: 0.00250964
Term: 好久不见,Count: 64,TF: 0.00105991,IDF: 2.62304243,TF × IDF: 0.00278021
Term: 负责,Count: 63,TF: 0.00104335,IDF: 2.84489118,TF × IDF: 0.00296823
Term: 装修,Count: 63,TF: 0.00104335,IDF: 3.32201243,TF × IDF: 0.00346604
Term: 开别,Count: 63,TF: 0.00104335,IDF: 3.32201243,TF × IDF: 0.00346604
Term: 更好,Count: 62,TF: 0.00102679,IDF: 2.71995244,TF × IDF: 0.00279283
