Term: 防控,Freq: 173,TF: 0.012943288942091876,IDF: 0.6842467475153123,TF × IDF: 0.008856403360777273
Term: 工作,Freq: 144,TF: 0.010773604668562023,IDF: 0.7054360465852505,TF × IDF: 0.007600089084862791
Term: 冠状病毒,Freq: 199,TF: 0.014888523118360019,IDF: 0.4879521023713442,TF × IDF: 0.007264886156808132
Term: 武汉,Freq: 220,TF: 0.01645967379919198,IDF: 0.4382643181822367,TF × IDF: 0.0072136877151049
Term: 病例,Freq: 143,TF: 0.010698787969474786,IDF: 0.6262548005376256,TF × IDF: 0.006700167325817781
Term: 新型,Freq: 167,TF: 0.012494388747568457,IDF: 0.4879521023713442,TF × IDF: 0.006096663257220894
Term: 肺炎,Freq: 172,TF: 0.012868472243004638,IDF: 0.4382643181822367,TF × IDF: 0.005639792213627466
Term: 国家,Freq: 92,TF: 0.006883136316025737,IDF: 0.7634279935629372,TF × IDF: 0.005254778947163715
Term: 口罩,Freq: 68,TF: 0.005087535537932067,IDF: 1.028742436960384,TF × IDF: 0.005233763707414792
Term: 武汉市,Freq: 87,TF: 0.006509052820589556,IDF: 0.8023460595933068,TF × IDF: 0.00522251288228473
Term: 传播,Freq: 70,TF: 0.005237168936106539,IDF: 0.8603380065709936,TF × IDF: 0.004505735482565431
Term: 检测,Freq: 71,TF: 0.005311985635193775,IDF: 0.8450980400142567,TF × IDF: 0.004489148648886145
Term: 航空,Freq: 41,TF: 0.003067484662576687,IDF: 1.462397997898956,TF × IDF: 0.004485883429137902
Term: 病毒性,Freq: 47,TF: 0.003516384857100105,IDF: 1.2283147918655881,TF × IDF: 0.0043192275338682215
Term: 接种,Freq: 31,TF: 0.0023193176717043245,IDF: 1.8303747831935504,TF × IDF: 0.0042452205805027735
Term: 市场,Freq: 59,TF: 0.00441418524614694,IDF: 0.9272847962016069,TF × IDF: 0.004093206866369505
Term: 病毒,Freq: 128,TF: 0.009576537483166243,IDF: 0.4266824456324215,TF × IDF: 0.004086140434007927
Term: 措施,Freq: 62,TF: 0.004638635343408649,IDF: 0.8761322737542254,TF × IDF: 0.0040640581305373315
Term: 流感,Freq: 44,TF: 0.003291934759838396,IDF: 1.193552685606376,TF × IDF: 0.003929097573446098
Term: 专家,Freq: 66,TF: 0.004937902139757594,IDF: 0.7889820980353254,TF × IDF: 0.0038959163901190687
Term: 报告,Freq: 60,TF: 0.004489001945234176,IDF: 0.8450980400142567,TF × IDF: 0.0037936467455375877
Term: 客票,Freq: 25,TF: 0.0018704174771809069,IDF: 2.0064660422492313,TF × IDF: 0.003752929152792966
Term: 信息,Freq: 49,TF: 0.003666018255274577,IDF: 0.9457682018956198,TF × IDF: 0.0034672034934075543
Term: 中国,Freq: 48,TF: 0.003591201556187341,IDF: 0.9650733570910066,TF × IDF: 0.0034657729418201646
Term: 病人,Freq: 43,TF: 0.0032171180607511595,IDF: 1.077047116534939,TF × IDF: 0.0034649877308845106
Term: 应对,Freq: 47,TF: 0.003516384857100105,IDF: 0.9852767431792935,TF × IDF: 0.0034646122197685768
Term: 航班,Freq: 30,TF: 0.002244500972617088,IDF: 1.5293447875295691,TF × IDF: 0.003432615863076992
Term: 院士,Freq: 33,TF: 0.002468951069878797,IDF: 1.353253528473888,TF × IDF: 0.0033411167469428625
Term: 确诊,Freq: 55,TF: 0.004114918449797995,IDF: 0.8023460595933068,TF × IDF: 0.00330158860374322
Term: 中方,Freq: 27,TF: 0.002020050875355379,IDF: 1.608526033577194,TF × IDF: 0.0032493044221595267
Term: 旅客,Freq: 34,TF: 0.0025437677689660334,IDF: 1.2661033527549879,TF × IDF: 0.0032206729009179704
Term: 全国,Freq: 38,TF: 0.0028430345653149783,IDF: 1.1314047788575314,TF × IDF: 0.003216622893654511
Term: 医院,Freq: 46,TF: 0.0034415681580128683,IDF: 0.9095560292411752,TF × IDF: 0.00313029906816505
Term: 救治,Freq: 43,TF: 0.0032171180607511595,IDF: 0.9650733570910066,TF × IDF: 0.0031047549270472306
Term: 患者,Freq: 46,TF: 0.0034415681580128683,IDF: 0.8925226899423949,TF × IDF: 0.0030716776700097383
Term: 落实,Freq: 38,TF: 0.0028430345653149783,IDF: 1.077047116534939,TF × IDF: 0.0030620821807816607
Term: 部门,Freq: 49,TF: 0.003666018255274577,IDF: 0.8303747831935504,TF × IDF: 0.003044169113907225
Term: 非典,Freq: 30,TF: 0.002244500972617088,IDF: 1.353253528473888,TF × IDF: 0.003037378860857148
Term: 医务人员,Freq: 37,TF: 0.002768217866227742,IDF: 1.077047116534939,TF × IDF: 0.002981501070761091
Term: 春节,Freq: 47,TF: 0.003516384857100105,IDF: 0.8450980400142567,TF × IDF: 0.002971689950671111
Term: 发热,Freq: 41,TF: 0.003067484662576687,IDF: 0.9650733570910066,TF × IDF: 0.002960347721138057
Term: 钟南山,Freq: 35,TF: 0.0026185844680532695,IDF: 1.103376055257288,TF × IDF: 0.0028892834007186205
Term: 卫生,Freq: 51,TF: 0.00381565165344905,IDF: 0.7511935371459256,TF × IDF: 0.0028662928620710915
Term: 卫健委,Freq: 48,TF: 0.003591201556187341,IDF: 0.7889820980353254,TF × IDF: 0.002833393738268414
Term: 治疗,Freq: 40,TF: 0.002992667963489451,IDF: 0.9457682018956198,TF × IDF: 0.0028303701987000447
Term: 管理,Freq: 40,TF: 0.002992667963489451,IDF: 0.9095560292411752,TF × IDF: 0.0027219991897087393
